2623	3708	7558							
16498	20420	3786	3787	7558					
20420	3708	3786	3787	7558					
3786	4689	7558							
20420	3028	3786							
1710	20420	4913							
2623	3280	3281							
2015	2623	5053							
1709	2019	2623							
2623	2624	2625	2626						
16498	2019	3307	3928						
2019	3307	3708	3928						
1545	3028	3926	564						
11724	3028	4689	6259						
11724	2005	2993	3028	3926					
11724	1437	1444	3028						
3028	3155	3666	4689						
1106	3028	479	4912						
1443	3028	3302							
177	2019	4913							
2019	3020	4913							
1028	479	4913	7657						
1438	1709	4913	7657						
1104	1105	3131							
1104	15455	1599	3280						
1104	3277	3307							
1104	1864	3152							
1104	3926	566							
1709	1710	3794							
1709	1710	2019	482						
1708	1709	1710	1711	3957					
1709	1710	4355	8299						
1436	1710	3666							
1668	3280	3281	3301						
237	3281	4919	555	564					
3275	3276	3277	3278	3279	3280	3281			
1363	3281	758							
176	2993	3281	33	482					
1444	176	2993	3270	3281	33				
1667	2019	2768	3281						
1444	1667	1668	176	3131	3270	3281			
1667	176	3270	3281	4919	760				
1667	176	2626	3270	3281	760				
1437	1667	3270	3281	4919	760				
1667	176	2993	3275	3281	566				
174	176	3281							
1443	3275	5053							
236	3274	5053							
3248	3249	5053							
230	5053	6259							
230	2348	5053							
2015	2018	2019							
1436	2019	237							
2018	2626	3331							
1444	2626	3131	3759						
2625	2626	3270	759	760					
1437	1667	2625	2626	3270	760				
1709	3274	4920							
1709	3302	8299							
1436	2624	3280							
1545	237	3305	4387	564					
1332	3302	4387							
1333	1335	2003	3276	3759	3787	4387			
1335	3276	3759	3786	3787	3788	4387			
15455	1547	4387	555						
1545	1546	1547	3792	3928	4387				
1547	3276	3759	4387	481					
1547	3276	3277	3304	3759	4387				
1546	1547	3759	3787	3929	4387				
1028	1547	2003	3759	4387					
1335	2003	2063	3303						
1335	1529	1544	1666	2003	3266	3276	3303		
1335	1666	3276	3303	3304	3759	3930			
1335	1529	278	3276	3303	3759	4107			
1335	1529	1666	278	3266	3276	3303	3759		
1335	1529	1666	3266	3276	3303	3759	3786	3787	3788
1335	1529	1666	3266	3276	3277	3303	3304	3759	
1033	1335	1529	1666	3266	3276	3303	3304	3759	
1335	1529	3276	3303	3759	3786	3787	3788	4108	
1335	231	3276	3303	3759	3787				
1335	2003	3276	3303	3759	3787	4111			
1335	1712	3303	4919						
1032	1335	3303	4919						
1446	2996	33							
1437	1668	2996							
2686	2996	3280	3759	3787					
1669	2078	2996	3280						
1544	1548	2996	3280						
2003	2018	2686	3131						
2686	3276	3759	3787	4107	4108	4109			
2686	3131	3276	3759	481					
1666	2686	277	278	3276	3759	3930			
1666	2686	3276	3277	3280	3759				
2685	2686	2687	4286						
1550	2768	3275	4689						
3020	3274	3275	3276	3277	3278	3279			
1332	1333	3275							
1434	1550	1667	3275	566					
1434	1667	2765	3275	567					
2064	3275	3439	3926	566					
1667	2005	2765	3275	3926	567				
1667	3270	3275	3439	3926					
11724	1443	3275							
3301	3302	3303	3304						
1529	2003	3216	3276	3759	3787	4107			
3259	3787	4107							
4108	4109	7660							
2992	3076	3408	3759	4109					
1529	3076	312	3759	4109					
1529	3216	3276	3759	3787	3788	4108	4109		
1529	3153	3216	3759	4108	4109				
3276	3759	3787	3788	4109	4111				
3280	3785	3793	4109						
174	2992	3280	4109						
1444	237	3259	3439						
15455	3259	479							
3005	3259	3267							
312	3259	4939							
3785	3786	3787	3788	3790	4331				
1088	2064	2078	3280	3785					
2064	3076	3280	3785						
312	3206	3785	4444						
175	2766	312	3785						
1450	174	3785							
1529	3266	3759	3787	4444	764				
1446	4443	4444							
2078	4444	7660							
1955	2078	2625	4444						
1436	227	3216	3266	3787	764				
1547	227	3020	3276	3787	3788				
1543	1547	227	3276	3759	3786	3787	3788		
1333	2003	227	3276	3759	3787				
1666	227	277	316	3216	3276	3759	3787	3930	
1529	1666	2003	227	3216	3266	3276	3759	3787	764
1529	227	3759	3787	3929					
1543	1546	1547	227	3759	3787				
227	228	231	233	3787	4850				
1032	1666	227	277	316	3216	3276	3787	3930	
227	2997	3103	3309						
2064	227	3103	3309	3526					
1955	2078	227	3103	3131					
1088	2078	227	232						
2064	2078	227	3246	3280	3526				
1088	2078	227	238	3280	3526				
174	1955	2078	227	3280	3526				
2015	2078	227							
1666	227	277	278	3276	3759	3930			
1529	1666	2003	227	3266	3276	3304	3759		
1669	226	227	2766						
1544	227	231	3276	3280					
1543	1547	227	3276	3277	3759				
227	230	232	3020						
227	3076	3131	3790						
226	227	228	229	230	231	232			
227	228	229	230	231	232	233	235	236	4850
20548	227	228	233	4850					
227	232	233	235	3267					
227	229	236	2997						
1436	20548	227	3266	3268					
20548	227	3274	3280	562					
20548	227	4655	7662						
20548	227	562	7662						
1028	227	2625	3203	3267					
1028	1436	227	3266	3280	7657				
1028	227	232	235	3004	3266	3759			
1028	1529	1544	227	3131	481				
1028	1436	1553	227	7662					
1028	1032	227	3280	7657					
1028	1544	227	3250	3280					
1028	1029	227	3759	481					
1028	15455	227	232	235	3152				
1028	227	2763	3152						
1028	227	3076	3131	3408	3759				
1028	15455	227	4144	479					
1028	15455	227	4484	479					
1028	227	3131	3268	3308	3309	479			
1028	1955	227	3131	3309	479				
1028	227	229	3309	479	7662				
1028	15455	227	4443	479					
1028	2064	227	2763	3131	479	759			
1028	15455	227	4689	479					
1028	15455	227	3280	3759	479				
1028	227	229	236	479	7657				
1028	227	479	481	4850					
1028	227	235	479	7660	7662				
1028	227	232	235	3203	3267	479			
1028	1436	227	229	232	235	479	4850	7662	
1028	1544	227	235	3076	479				
1028	1118	227	3076						
2052	227	3266							
227	4283	4655							
1121	227	4655							
1712	227	479	4919	7662					
1088	227	3280	4919						
227	230	3076	3131	3408					
174	227	230	3280						
1107	227	235	3203	3267					
1107	1436	227	229	235					
1553	1712	227	3280						
227	238	3131	3246	3266					
227	3004	3131	3246	3309	3759	481			
1029	1544	227	3076	3246	3280				
1436	1533	227	3266	3280					
1533	227	3266	3309						
1533	227	235	3076						
227	7658	7659	7660	7662					
227	7656	7657	7658	7659	7662				
1434	227	3132	3280						
1434	2062	227	3280						
1033	1436	227	3266						
3129	3786	4111							
17814	3786	4111							
1028	15455	1547	3759	4111					
1547	278	3276	3759	4111					
1547	3276	3277	3304	3759	4111				
1033	1547	3276	3304	3759	4111				
1547	3276	3759	3786	3787	3788	4108			
15455	3759	4331							
33	452	561							
3280	4655	561	563						
3280	561	562	563						
1434	3280	452	561						
3280	3331	452	561						
237	238	239							
20548	239	3103	3248	3249	3309				
1287	239	3309							
239	3308	3309	7662						
239	3203	3267							
239	3248	3249	4443						
3103	3308	482							
1106	237	3301	3308	482					
1442	3759	482							
1106	1667	2993	482	566					
1529	1718	312	3248	3249	3266				
174	2078	3248	3249	3526	567				
1718	312	3248	3249	3250					
1718	2078	3246	3248	3280					
2767	312	3248	3526						
11724	3759	3786							
1107	11724	2625	3270	760					
1444	1550	2993	3129						
1444	1550	17814	2993						
3020	3307	3788							
3305	3307	3308							
1033	3304	3307							
3928	3929	4655							
3928	3929	3930	3931						
3928	3929	562							
1545	1546	1547	3020	3928	3929				
1545	1546	1547	3439	3792	3928				
2767	2768	3270	567						
1544	1550	2766	2768						
1550	237	2768	3155	3927					
1437	2768	4354	4355						
1543	2005	2765	2768	567					
1444	3004	4689							
1444	4689	8299							
1444	1544	1550	566						
1444	2763	3131	759						
1443	1444	3439							
1446	1960	20548							
1446	1719	174	20548	3526					
1446	3793	4655							
1446	3793	562							
1088	1446	2064	3526	3793					
1446	1719	3153	3526						
1029	1446	1669	174						
1446	15455	4144	567						
1446	15455	4484	567						
1446	15455	4689	567						
1446	1669	174	2078	3526	567				
1446	1719	2767	3526	3793	567				
1446	1450	501							
1446	1450	7507							
3155	3927	4689	6259						
1550	177	3152	3155	3927					
1550	2052	3155	566						
177	237	3155	3931						
237	3005	3155	555	564					
1550	237	2993	3155						
2052	226	3927							
3926	3927	4283							
2766	3251	3927							
1105	1864	2766	3927						
1032	3926	3927	6259						
1711	3270	567							
1548	2078	3280	567						
2765	2998	3270	3926	567					
2765	3926	4920	567						
1372	1553	567							
2767	3461	4939	567						
2078	2767	3131	3246	567					
15455	3152	4443	567						
15455	1599	3152	4689						
1599	315	760							
1118	1599	3305							
1599	2064	2078	3280						
1550	3301	566							
1544	1545	1546	1547	1548	1550				
1530	1547	1550							
2005	3926	555	6259						
1106	1107	6259							
1120	189	4353	4688	4689					
1120	1121	14913	4353						
1120	1722	4283							
1120	1121	1722							
189	3280	3667	7657						
1118	4005	4354	4355						
20630	237	3005	565						
2052	20630	3005							
2015	20630	4005	4355						
2015	3251	4005							
1436	1437	4748							
2348	3280	564							
236	565	7657							
1434	565	566							
3308	3309	3331	565						
1545	1547	3005	3790	555	564				
237	3005	3439	4919						
1545	1546	237	3931	555	564				
3250	3251	3280							
1667	1708	2625							
1666	1667	1668	3131						
1668	232	33							
1666	1668	1718	3266	3280					
1529	1668	3130	3131						
1363	2625	3270	760						
1450	1864	226	3153						
1033	1450	174							
3278	4912	515							
3278	3931	555	564						
1118	3004	760							
1106	1107	2625	760						
1438	1711	3280							
2993	3794	501							
3792	3793	3794	3799						
236	3305	3794							
2005	3305	3792	3794	3926					
2078	2992	3474							
3076	3408	3474	563						
1708	1711	2997	3280						
1708	3152	7657							
1533	1711	3408							
1529	1711	312							
1711	2997	3250	3280						
1543	1711	1960							
1545	3260	3280	555	564					
1545	1546	1547	3790	555	564				
1106	1107	4919	564						
2005	3305	3439	3792	3926	566				
1032	3439	3792	3926	566					
176	2005	3305	3792	3926	566				
3305	3308	7660							
2767	3305	3526							
230	3302	3305							
1106	2993	3206	3305						
1542	1545	3305							
3264	3267	3268							
2005	2078	555							
1105	1543	2005	3759						
1332	2765	2998	3302	3926					
1105	2766	2767	3759						
1088	174	2078	2764	2767	3206	3280			
2078	2764	2767	3130	3206	3280				
1719	2764	2767	3130	3793					
1332	3260	3439							
1032	1332	177							
2015	2052	566							
1106	3308	3309	479	4919					
1106	3302	4919							
3206	3926	4920							
1028	2064	2998	479						
2764	2998	3266	3276						
1105	2998	3004	3266						
1032	2998	4939							
3260	3309	7660							
174	175	176	177						
2625	3667	759							
1287	3153	3280							
1955	4919	4920							
2018	3004	3131	479	481	759				
2018	2078	3131	764						
2018	3131	758	759						
2018	312	3131	3153	3266	764				
2993	4912	501							
1363	312	3461							
176	2064	229	3131						
176	2625	3788							
1669	174	176	2078						
1436	315	3793							
315	3308	3309							
1372	1533	238	452						
2064	2764	3131	3759						
2064	2078	2764	3280	3526	563				
2764	3130	3250	3280						
1960	2764	3280							
1553	2078	2764	3280						
174	3280	3526	758						
2992	3203	3267							
229	230	2992							
1436	1442	20548	3266						
1436	1442	1955							
1442	2078	235							
3130	3131	3132							
1529	1530	1533	2078						
1529	1530	1532	1533						
1434	1718	3206	3280						
1718	3131	3246	3266	3268					
1105	1529	1544	1666	1718	3131	3266	764		
1544	1718	2064	3131	764					
1544	1545	1718	175	312	764				
1718	1719	2064	2766						
2063	2078	238							
1543	1960	2063							
3308	3309	3526	563						
3216	3280	563							
3266	3280	6051							
1545	1669	312							
2064	3526	3793	759						
1529	3246	3759	3793						
1028	3131	3153	3308	3309	481				
1105	3004	3131	3153	3266	3759				
1028	2763	3131	3153	759					
1529	1544	1666	2003	3131	3153	3216	3266	764	
175	2766	312	3153	3759	764				
1028	1719	2064	481						
20548	312	3266	3759	764					
229	232	312							
1543	1544	3461							
1105	1107	175	1864						
1107	175	3004	759						
2004	3308	3309							
7659	7660	7661	7662	7663					
1544	232	3246	33						
1033	515	759							
1864	2766	7660							
1553	3785	758							
20630	4354	565							
1718	3246	3249							
227	2997	4655							
