1569	1571	240	241	3324	3326	3563				
1700	272	3342	3563	3811						
2037	297	3342	3563	3943	4346	510	511			
1569	3203	3267	3562	3563						
3562	3563	3564	3565	3566	3810					
2640	3562	3563	4109							
3534	3562	3563	4111	481						
3324	3562	3563	479	481						
283	3562	3563	3943	479	481					
3267	3268	3562	3563	479						
2035	3562	3563	479							
1556	3562	3563	3811	481						
1556	3203	3267	3562	3563	3811					
2037	272	3246	3562	3563	3872					
3266	3562	3563	3565							
3557	3561	3562	3563	3564	3565	3566				
283	3561	3562	3563	3564	4619					
3203	3267	3562	3563	3564						
3562	3563	3808	4346	511						
3530	3563	3808	3809	479						
270	3203	3267	3530	3563						
3563	3682	3877	479							
1745	282	297	3563							
1700	3563	3811	479	4890						
272	3259	3563	4619							
3563	3877	3879	479							
1700	1745	283	3563	3811	479					
3563	4346	767								
3563	3825	3877	3943	479						
3532	3877	4939								
3813	3814	4939								
152	3259	4939								
1569	3251	4939								
1569	1571	1744	4939							
3206	3532	4939								
1287	152	3315	3872							
1287	1558	3206	3531	61						
1287	1569	1571	240	241	242					
1287	240	241	242	3293						
240	241	242	3877							
1447	1569	1571	240	241	242					
1569	1571	241	242	3810						
1447	240	241	3293	3809						
1447	3293	482								
1447	152	240	3315	3809						
1447	152	1700	2006	283	3315	3562	3811	4619	479	
1447	152	2006	2161	250	3315	3811	4619	479	57	
1447	152	2006	2037	297	3315	3825	3943	4346	510	
1447	152	2006	2037	2161	2431	250	3266	3315	510	57
1447	152	2006	2037	250	3315	3825	4619	479		
1447	1558	250								
1447	3562	4108								
1447	2006	2037	272	3266	3562	4346	510			
1569	1571	1744	3562	3810						
1744	2006	272	3562	3564						
152	1744	2006	3315	3562	3564	3943				
1744	2006	3562	4109							
1744	2006	2037	297	3825	3943	510	511			
1700	2006	297	3342	3811	479					
2006	2037	2431	3041	3266	3342	4346	510	511		
152	2006	2037	297	3041	3315	3825	3943	4346	510	
152	1700	2006	3315	3682	3811	4619	479			
152	2006	3216	3266	3315	3562					
152	2006	2906	297	3315	479					
2006	3530	3682	4619	479						
3324	3325	3326	3342							
3325	3872	4908								
2430	3878	482								
2640	3324	482								
3812	482	58	62							
5053	766	767								
61	766	767								
3270	3534	766								
270	3808	3872	766							
1556	270	3876	766							
2433	270	3270	60	766						
247	270	3270	3808	766						
297	4346	766								
153	3318	3622								
3529	3622	61								
11724	3318	3622								
3324	3533	3622								
1384	3533	3622								
3260	3533	3622	61							
3533	3815	3816								
3260	3532	3533	3534							
3530	3531	3532	3533	3534						
3206	3813	58	61							
3811	3812	3813	3814	3815	3832					
3812	3813	58	59	61						
3812	3813	3824	61							
1558	3531	3812	3813	3814	61					
152	283	3315	3561	3562	3825	4346	4619			
152	283	3266	3315	336						
152	3259	3260	3315							
152	3041	3259	3315	4619						
152	3203	3259	3267	3315	479					
152	2037	2431	3203	3315	3562	3825	3943			
152	1700	3203	3267	3315	3562	3811	479			
1558	2430	3206	3531	61						
1556	247	58	59	60						
2430	3531	3812	60	61						
1556	1745	60								
2035	3342	3532	479							
283	3041	3532	3561	3825	4346	4619				
3529	3682	4619								
1558	247	3293								
240	3248	3249	3293							
3041	3216	3266	3877							
3041	3246	481	511							
3041	3246	3682	481							
3041	3246	3872	4908							
272	3041	3246	3342	3805						
2037	2431	2640	3041	4346	510	511				
2037	2640	3041	3246	3268						
1745	2037	2431	3041							
2430	2431	2432	2433							
2431	3562	3564	3565	3566						
2037	2161	2431	2640	510	57					
1384	3812	59	62							
3809	3812	58	59	62						
270	3246	3248								
3248	3249	3250	3877							
240	3248	3249	3805	3877						
3248	3249	5053								
1569	240	3248	3249	3562						
272	3246	3248	3249	3266	3562					
3248	3249	3562	3825							
3872	3873	3874	3875	3876	4908					
1558	3326	3531								
1558	247	3270	59							
2430	3260	61	62							
3824	5235	61								
3564	3810	62								
247	3270	59	62							
3326	336	3805								
283	3250	3326								
282	3250	3562								
3562	3637	3811								
3216	3877	4108	4109							
3216	4107	4108	4109							
5053	5235	5239								
3264	3815	3816								
3264	3267	3268								
283	3809	3942								
247	282	3270	59							
2035	270	3270								
3823	3824	4513								
153	3824	5239								
2036	3808	3809								
144	145	5234	5235							
144	5234	5235	5236							
3806	3807	3808	3809							
510	511	513								
150	5239	5889								
248	5250	5251								
1447	1571	1744								
3325	58	59								
3216	3562	481								
